time,coverage,bug
524.0,68,0,4033
525.0,68,0,4041
526.0,68,0,4048
527.0,68,0,4055
528.0,68,0,4063
529.0,68,0,4070
530.0,68,0,4078
531.0,68,0,4086
532.0,68,0,4094
533.0,68,0,4101
534.0,68,0,4109
535.0,68,0,4117
536.0,68,0,4125
537.0,68,0,4132
538.0,68,0,4139
539.0,68,0,4147
540.0,68,0,4155
541.0,68,0,4163
542.0,68,0,4171
543.0,68,0,4179
544.0,68,0,4187
545.0,68,0,4194
546.0,68,0,4202
547.0,68,0,4210
548.0,68,0,4218
549.0,68,0,4225
550.0,68,0,4233
551.0,68,0,4241
552.0,68,0,4248
553.0,68,0,4256
554.0,68,0,4263
555.0,68,0,4270
556.0,68,0,4277
557.0,68,0,4285
558.0,68,0,4293
559.0,68,0,4301
560.0,68,0,4309
561.0,68,0,4317
562.0,68,0,4324
563.0,68,0,4332
564.0,68,0,4340
565.0,68,0,4348
566.0,68,0,4355
567.0,68,0,4363
568.0,68,0,4371
569.0,68,0,4379
570.0,68,0,4386
571.0,69,0,4394
572.0,69,0,4402
573.0,69,0,4410
574.0,69,0,4418
575.0,69,0,4426
576.0,69,0,4434
577.0,69,0,4442
578.0,69,0,4450
579.0,69,0,4458
580.0,69,0,4466
581.0,69,0,4474
582.0,69,0,4481
583.0,69,0,4489
584.0,69,0,4496
585.0,69,0,4504
586.0,69,0,4511
587.0,69,0,4518
588.0,69,0,4526
589.0,69,0,4534
590.0,69,0,4542
591.0,69,0,4549
592.0,69,0,4557
593.0,69,0,4564
594.0,69,0,4571
595.0,69,0,4578
596.0,69,0,4586
597.0,69,0,4593
598.0,69,0,4601
599.0,69,0,4609
600.0,69,0,4617
